CAMIS,yelp_cat,price,rating,review_count,longitude,latitude,opens,closes,is_overnight
40367790,Coffee & Tea,1.0,2.5,10.0,40.648705,-73.9581524,630.0,2400.0,False
40367829,Coffee & Tea,1.0,1.5,14.0,40.679545,-73.861689,0.0,2400.0,False
40367841,Pizza,3.0,3.5,740.0,40.77134,-73.9819051,800.0,2430.0,True
40367860,Pizza,1.0,4.0,3670.0,40.594715,-73.981316,1100.0,2400.0,False
40367870,Pizza,1.0,4.0,412.0,40.7693570273757,-73.8341404931405,1100.0,2400.0,False
40367946,Other,,,,,,,,False
40368018,Other,,,,,,,,False
40368021,Other,,4.0,1041.0,40.8486991537725,-73.8822738371592,1000.0,1730.0,False
40368022,Other,,,,,,,,False
40368025,Other,,,,,,,,False
40368026,Other,,,,,,,,False
40368034,Other,,,,,,,,False
40368157,Breakfast & Brunch,2.0,4.0,534.0,40.736214,-74.000729,830.0,2400.0,False
40368207,Delis,2.0,3.5,210.0,40.61567,-73.91812,900.0,2130.0,False
40368223,Other,,,,,,,,False
40368271,Dive Bars,1.0,3.5,119.0,40.7258491516113,-73.9843063354492,1800.0,2800.0,True
40368291,Breakfast & Brunch,2.0,3.0,113.0,40.58117,-74.09902,600.0,3000.0,True
40368313,American (Traditional),2.0,3.5,546.0,40.75607,-73.98275,600.0,2345.0,False
40368318,Bars,2.0,3.5,127.0,40.7562942504883,-73.9771194458008,1130.0,2400.0,False
40368338,Bars,1.0,3.5,65.0,40.77548,-73.9538,,,False
40368374,Sports Bars,1.0,4.0,592.0,40.7566,-73.98483,1130.0,2800.0,True
40368526,Italian,2.0,4.0,154.0,40.7183867,-73.9434906,1200.0,2130.0,False
40368552,Other,,,,,,,,False
40368555,Italian,2.0,3.5,514.0,40.718005,-73.998268,1200.0,2300.0,False
40368577,Pubs,1.0,3.0,35.0,40.6427213,-73.9786335,800.0,2800.0,True
40368581,Other,1.0,3.5,366.0,40.73323,-74.00339,,,False
40368632,Coffee & Tea,2.0,3.5,41.0,40.62021,-74.00774,900.0,2200.0,False
40368725,Spanish,2.0,4.0,104.0,40.74083,-74.00041,1200.0,2330.0,False
40368752,Other,,,,,,,,False
40368763,Other,,,,,,,,False
40368801,Venues & Event Spaces,2.0,3.5,109.0,40.76187,-73.76078,900.0,2400.0,False
40368809,Other,,,,,,,,False
40368824,Breakfast & Brunch,2.0,3.5,3.0,40.7645506,-73.9726296,,,False
40368897,Japanese,3.0,4.0,1291.0,40.75703,-73.97692,1145.0,2200.0,False
40369012,Other,,,,,,,,False
40369016,Breakfast & Brunch,2.0,3.5,181.0,40.764851,-73.970188,600.0,2130.0,False
40369017,Seafood,3.0,3.5,218.0,40.75146,-73.97067,1145.0,2230.0,False
40369051,Other,,,,,,,,False
40369087,American (Traditional),2.0,2.5,76.0,40.8864,-73.90991,600.0,2230.0,False
40369111,Other,,,,,,,,False
40369139,French,2.0,3.5,118.0,40.75926,-73.98729,1100.0,2100.0,False
40369158,Bars,2.0,4.0,37.0,40.63079,-74.10182,,,False
40369165,Sports Bars,1.0,4.0,53.0,40.78142,-73.94857,1200.0,2800.0,True
40369213,Other,,2.5,138.0,40.770391,-73.8340087,0.0,2400.0,False
40369262,Pizza,1.0,3.5,81.0,40.73476,-73.88178,1200.0,2200.0,False
40369299,Other,,,,,,,,False
40369418,Breakfast & Brunch,1.0,3.5,595.0,40.7302281,-74.0004194,900.0,2800.0,True
40369461,Breakfast & Brunch,3.0,3.5,576.0,40.75667,-73.98414,700.0,2400.0,False
40369482,Pizza,1.0,3.5,37.0,40.646676,-73.883467,,,False
